Query,RetrievedDocuments
1,722 429 589 603 1281 813 711 1299 650 836 
2,1138 532 1155 58 1136 309 790 1096 1158 562 
3,469 1181 445 1179 540 1142 85 599 803 1077 
4,179 1294 175 790 746 565 77 72 1120 601 
5,1038 1105 1166 862 924 648 1361 1136 122 459 
6,1357 1077 312 1263 1045 398 1111 545 98 1341 
7,689 1180 1136 835 668 374 376 442 194 1391 
8,539 1139 434 1164 1162 477 796 530 456 817 
9,1294 175 565 135 315 1136 179 1182 1327 790 
10,1385 536 1411 462 1244 657 571 6 574 590 
11,965 565 646 474 560 1102 1103 899 1190 137 
12,1209 686 1123 767 1167 1190 748 233 1191 1173 
13,565 611 121 1101 646 1078 481 128 474 1136 
14,891 315 181 1294 220 193 72 1249 204 790 
15,591 177 615 860 336 979 917 916 490 865 
16,1307 883 1136 534 630 459 458 379 538 529 
17,252 1404 736 967 528 1158 123 739 773 488 
18,668 1092 315 698 1452 814 175 179 671 674 
19,689 668 1180 820 527 179 1372 510 1409 175 
20,336 177 180 287 917 406 1154 207 979 990 
21,1205 1103 137 475 1015 131 152 1102 133 202 
22,891 336 220 917 181 177 193 1249 180 204 
23,177 336 916 917 406 990 1037 979 202 874 
24,924 1166 1423 934 896 648 923 144 339 1325 
25,1284 121 1289 49 611 717 421 1245 130 440 
26,615 591 860 974 158 865 292 822 979 1374 
27,1136 458 538 565 375 1078 680 289 1197 696 
28,696 1460 116 1125 1128 1114 618 676 375 114 
29,377 869 824 1144 489 446 715 773 1136 1010 
30,121 588 111 1369 225 618 198 744 767 717 
31,1299 1370 535 1297 85 1208 469 1428 313 889 
32,336 916 1421 177 52 917 849 451 180 1193 
33,1081 980 180 336 519 1234 57 177 67 1136 
34,668 1180 689 1199 835 442 377 34 1391 521 
35,910 1207 121 466 18 385 1298 402 1362 717 
37,688 79 212 1381 1189 1152 757 680 894 478 
39,896 1134 924 1205 847 459 612 1349 388 1053 
41,1189 388 86 326 62 825 464 61 1395 798 
42,459 1448 971 114 501 254 471 761 131 454 
43,1431 114 27 689 1327 565 1136 458 819 538 
44,588 744 618 111 1369 756 770 767 1167 203 
45,177 336 916 406 917 849 990 979 287 180 
46,374 922 340 177 364 408 115 1193 200 141 
49,469 545 456 1273 535 85 459 123 105 136 
50,261 388 1430 989 838 485 1442 539 931 1141 
52,382 986 452 586 883 220 194 608 891 75 
54,916 177 283 392 336 917 213 406 1240 22 
55,382 986 883 452 1051 608 75 603 806 586 
56,209 872 848 970 299 276 1395 1252 998 941 
57,848 746 326 480 1230 1216 836 333 276 1024 
58,885 854 955 218 884 916 947 972 654 119 
61,518 579 606 483 642 451 165 523 508 1327 
62,430 455 464 443 54 810 745 562 319 446 
65,448 509 422 485 635 483 576 444 566 62 
66,885 1303 218 119 947 654 854 375 1367 214 
67,830 1248 564 643 671 51 1124 741 191 659 
69,501 1413 1163 798 151 812 894 1133 530 212 
71,499 483 1281 1131 1124 666 175 819 116 1076 
76,211 854 1354 1011 1236 1247 654 119 972 885 
79,450 706 615 523 591 708 487 158 700 680 
81,175 1027 779 538 458 1136 179 497 135 1171 
82,478 516 1073 539 310 464 25 641 804 1125 
84,444 523 810 519 754 806 659 486 492 1054 
90,542 478 838 641 42 574 1291 972 107 399 
92,371 514 145 875 765 579 1415 871 534 699 
95,531 54 739 810 824 319 659 77 25 446 
96,523 430 659 644 519 825 443 1327 460 455 
97,531 824 77 54 446 659 523 1415 448 1421 
98,626 546 451 594 124 606 648 1368 728 1367 
99,626 546 648 594 514 1368 451 523 579 309 
100,1136 916 459 180 565 611 336 827 689 534 
101,565 1078 1136 853 309 175 1089 895 704 461 
102,894 824 812 659 1326 446 489 479 562 531 
104,894 603 812 149 566 479 562 659 489 486 
109,52 1274 537 1345 105 1169 876 139 88 155 
111,448 422 485 509 635 570 566 576 483 1076 
